8000 300 240 
19 112 1 0
226 123 1 0
123 92 1 0
40 5 1 0
119 6 1 0
17 298 1 0
69 2 1 0
29 207 1 0
215 224 1 0
107 246 1 0
201 23 1 0
187 116 1 0
42 235 1 0
143 38 1 0
226 240 1 0
13 220 1 0
12 183 1 0
30 151 1 0
132 111 1 0
227 259 1 0
19 99 1 0
57 91 1 0
136 225 1 0
72 242 1 0
179 49 1 0
153 209 1 0
11 133 1 0
61 238 1 0
174 61 1 0
110 264 1 0
196 230 1 0
115 6 1 0
219 143 1 0
223 153 1 0
64 276 1 0
140 202 1 0
111 273 1 0
52 69 1 0
52 223 1 0
163 26 1 0
121 297 1 0
189 0 1 0
152 42 1 0
64 239 1 0
10 209 1 0
50 126 1 0
12 125 1 0
52 120 1 0
52 211 1 0
93 48 1 0
170 63 1 0
138 24 1 0
20 11 1 0
94 18 1 0
65 197 1 0
192 67 1 0
106 193 1 0
63 62 1 0
239 85 1 0
239 2 1 0
215 191 1 0
114 197 1 0
44 90 1 0
64 231 1 0
19 288 1 0
59 255 1 0
105 270 1 0
39 246 1 0
96 39 1 0
186 21 1 0
85 278 1 0
213 14 1 0
80 8 1 0
43 29 1 0
84 50 1 0
214 189 1 0
17 78 1 0
93 29 1 0
90 37 1 0
191 57 1 0
57 110 1 0
171 222 1 0
155 281 1 0
198 246 1 0
9 135 1 0
233 253 1 0
118 295 1 0
13 9 1 0
80 189 1 0
11 113 1 0
125 205 1 0
119 7 1 0
216 263 1 0
126 14 1 0
32 96 1 0
192 61 1 0
129 142 1 0
48 252 1 0
184 129 1 0
179 81 1 0
19 104 1 0
131 23 1 0
40 294 1 0
34 140 1 0
227 210 1 0
196 245 1 0
222 0 1 0
171 206 1 0
91 211 1 0
146 259 1 0
200 177 1 0
14 180 1 0
156 133 1 0
152 61 1 0
147 111 1 0
165 79 1 0
15 182 1 0
177 93 1 0
11 174 1 0
84 3 1 0
21 149 1 0
39 212 1 0
0 177 1 0
183 128 1 0
168 82 1 0
41 294 1 0
184 269 1 0
99 238 1 0
106 265 1 0
91 239 1 0
63 270 1 0
13 143 1 0
20 265 1 0
21 273 1 0
203 287 1 0
16 246 1 0
222 278 1 0
209 11 1 0
64 89 1 0
213 223 1 0
14 191 1 0
17 279 1 0
216 198 1 0
232 283 1 0
219 249 1 0
147 269 1 0
195 65 1 0
52 35 1 0
174 1 1 0
182 68 1 0
171 65 1 0
157 51 1 0
148 13 1 0
51 44 1 0
82 12 1 0
39 199 1 0
70 275 1 0
16 111 1 0
159 131 1 0
10 187 1 0
189 50 1 0
231 108 1 0
130 19 1 0
122 131 1 0
215 85 1 0
5 9 1 0
97 265 1 0
185 246 1 0
183 137 1 0
117 53 1 0
2 23 1 0
183 18 1 0
59 57 1 0
119 195 1 0
62 85 1 0
23 297 1 0
116 246 1 0
149 289 1 0
186 255 1 0
207 32 1 0
64 119 1 0
167 65 1 0
39 270 1 0
48 213 1 0
172 43 1 0
142 138 1 0
233 95 1 0
195 232 1 0
40 86 1 0
120 285 1 0
137 226 1 0
82 36 1 0
7 256 1 0
232 186 1 0
192 294 1 0
211 171 1 0
38 230 1 0
202 16 1 0
159 116 1 0
153 52 1 0
212 99 1 0
212 129 1 0
121 20 1 0
88 221 1 0
205 134 1 0
27 7 1 0
104 35 1 0
180 65 1 0
7 150 1 0
60 292 1 0
118 248 1 0
37 17 1 0
56 16 1 0
16 22 1 0
191 182 1 0
223 8 1 0
202 239 1 0
130 229 1 0
24 11 1 0
46 83 1 0
12 66 1 0
57 91 1 0
202 14 1 0
220 128 1 0
223 20 1 0
26 73 1 0
235 118 1 0
99 5 1 0
133 53 1 0
236 293 1 0
117 52 1 0
224 203 1 0
200 118 1 0
219 70 1 0
36 212 1 0
154 51 1 0
90 287 1 0
88 262 1 0
129 230 1 0
142 285 1 0
236 20 1 0
119 96 1 0
28 213 1 0
164 207 1 0
99 87 1 0
202 6 1 0
177 254 1 0
211 206 1 0
186 138 1 0
191 178 1 0
130 133 1 0
195 207 1 0
148 54 1 0
26 251 1 0
5 199 1 0
224 150 1 0
106 72 1 0
89 214 1 0
160 213 1 0
53 86 1 0
234 266 1 0
235 264 1 0
132 11 1 0
75 223 1 0
61 75 1 0
80 289 1 0
146 97 1 0
143 62 1 0
36 33 1 0
81 210 1 0
142 65 1 0
230 146 1 0
218 254 1 0
169 107 1 0
94 18 1 0
198 130 1 0
26 179 1 0
176 124 1 0
17 136 1 0
228 97 1 0
73 202 1 0
1 290 1 0
78 45 1 0
180 70 1 0
226 112 1 0
218 32 1 0
184 184 1 0
142 73 1 0
157 28 1 0
46 39 1 0
232 116 1 0
45 84 1 0
185 65 1 0
2 299 1 0
221 244 1 0
68 199 1 0
33 111 1 0
12 156 1 0
113 240 1 0
99 279 1 0
8 6 1 0
233 227 1 0
161 19 1 0
49 144 1 0
16 182 1 0
227 229 1 0
223 278 1 0
208 164 1 0
28 198 1 0
225 34 1 0
196 69 1 0
26 9 1 0
86 286 1 0
34 108 1 0
30 36 1 0
148 276 1 0
190 280 1 0
169 37 1 0
179 141 1 0
225 287 1 0
236 126 1 0
11 157 1 0
158 0 1 0
28 177 1 0
228 71 1 0
161 264 1 0
48 56 1 0
8 240 1 0
7 244 1 0
234 171 1 0
212 174 1 0
189 167 1 0
193 179 1 0
26 55 1 0
147 82 1 0
162 261 1 0
44 292 1 0
52 1 1 0
33 179 1 0
106 267 1 0
102 5 1 0
103 31 1 0
219 219 1 0
113 7 1 0
59 254 1 0
38 191 1 0
35 261 1 0
166 62 1 0
4 258 1 0
60 46 1 0
13 52 1 0
141 279 1 0
36 218 1 0
180 26 1 0
239 269 1 0
167 189 1 0
44 178 1 0
231 285 1 0
26 14 1 0
204 176 1 0
56 11 1 0
204 45 1 0
199 272 1 0
72 227 1 0
149 38 1 0
32 251 1 0
235 28 1 0
119 4 1 0
42 179 1 0
239 225 1 0
130 127 1 0
48 214 1 0
67 201 1 0
226 255 1 0
125 114 1 0
40 98 1 0
235 18 1 0
33 200 1 0
151 292 1 0
107 289 1 0
3 167 1 0
186 56 1 0
109 287 1 0
182 179 1 0
229 243 1 0
94 209 1 0
97 28 1 0
19 24 1 0
205 272 1 0
148 71 1 0
216 197 1 0
177 81 1 0
209 272 1 0
204 217 1 0
155 273 1 0
146 198 1 0
69 276 1 0
84 263 1 0
53 197 1 0
178 95 1 0
220 282 1 0
38 157 1 0
33 77 1 0
105 284 1 0
207 31 1 0
86 53 1 0
97 79 1 0
126 253 1 0
219 185 1 0
126 16 1 0
0 169 1 0
102 240 1 0
175 212 1 0
237 292 1 0
11 270 1 0
98 17 1 0
3 49 1 0
51 219 1 0
147 289 1 0
148 211 1 0
170 274 1 0
231 259 1 0
108 79 1 0
120 52 1 0
204 145 1 0
218 208 1 0
57 115 1 0
238 266 1 0
69 298 1 0
142 22 1 0
26 67 1 0
98 39 1 0
73 291 1 0
174 233 1 0
128 16 1 0
194 58 1 0
7 259 1 0
145 9 1 0
233 242 1 0
162 230 1 0
14 16 1 0
69 45 1 0
41 94 1 0
94 245 1 0
25 154 1 0
6 122 1 0
33 79 1 0
211 103 1 0
179 211 1 0
90 259 1 0
214 109 1 0
69 209 1 0
193 103 1 0
29 186 1 0
181 17 1 0
131 205 1 0
113 19 1 0
159 96 1 0
168 121 1 0
170 190 1 0
174 34 1 0
204 87 1 0
7 46 1 0
136 51 1 0
14 82 1 0
102 16 1 0
163 94 1 0
61 66 1 0
108 289 1 0
140 29 1 0
165 67 1 0
149 130 1 0
157 186 1 0
186 206 1 0
190 77 1 0
46 283 1 0
110 279 1 0
209 193 1 0
235 187 1 0
29 261 1 0
172 14 1 0
186 99 1 0
26 270 1 0
3 186 1 0
106 79 1 0
95 84 1 0
10 166 1 0
90 231 1 0
113 210 1 0
123 276 1 0
210 214 1 0
37 223 1 0
80 299 1 0
61 269 1 0
58 209 1 0
59 87 1 0
161 124 1 0
206 144 1 0
230 164 1 0
204 154 1 0
39 172 1 0
192 107 1 0
227 11 1 0
137 195 1 0
234 197 1 0
216 253 1 0
180 32 1 0
92 23 1 0
131 133 1 0
197 90 1 0
47 34 1 0
4 241 1 0
22 32 1 0
236 34 1 0
215 211 1 0
131 42 1 0
235 27 1 0
30 227 1 0
16 59 1 0
6 60 1 0
31 58 1 0
26 161 1 0
99 296 1 0
226 286 1 0
222 132 1 0
128 123 1 0
116 285 1 0
44 276 1 0
48 264 1 0
185 86 1 0
3 87 1 0
143 135 1 0
193 26 1 0
201 289 1 0
126 125 1 0
127 283 1 0
58 105 1 0
216 236 1 0
36 213 1 0
39 79 1 0
204 211 1 0
83 29 1 0
125 111 1 0
162 232 1 0
174 182 1 0
189 77 1 0
62 1 1 0
176 73 1 0
20 103 1 0
11 255 1 0
137 220 1 0
38 160 1 0
99 250 1 0
160 194 1 0
218 67 1 0
29 229 1 0
215 298 1 0
153 205 1 0
33 73 1 0
51 222 1 0
137 139 1 0
106 255 1 0
218 204 1 0
68 211 1 0
61 20 1 0
42 252 1 0
201 11 1 0
157 226 1 0
154 115 1 0
202 186 1 0
222 244 1 0
78 206 1 0
219 224 1 0
50 258 1 0
99 285 1 0
208 239 1 0
218 13 1 0
25 146 1 0
123 203 1 0
19 296 1 0
92 29 1 0
236 60 1 0
102 234 1 0
236 241 1 0
197 264 1 0
148 212 1 0
35 234 1 0
217 30 1 0
105 33 1 0
124 278 1 0
144 237 1 0
201 183 1 0
108 276 1 0
134 77 1 0
46 36 1 0
119 286 1 0
8 279 1 0
156 265 1 0
174 260 1 0
162 80 1 0
32 223 1 0
138 271 1 0
153 75 1 0
191 293 1 0
42 38 1 0
122 90 1 0
179 110 1 0
176 238 1 0
217 63 1 0
117 54 1 0
69 10 1 0
146 78 1 0
60 99 1 0
167 63 1 0
147 191 1 0
101 198 1 0
32 28 1 0
31 170 1 0
41 137 1 0
149 208 1 0
198 294 1 0
186 190 1 0
205 264 1 0
116 105 1 0
218 71 1 0
37 39 1 0
138 295 1 0
1 150 1 0
28 27 1 0
201 24 1 0
160 75 1 0
237 226 1 0
26 271 1 0
126 24 1 0
179 40 1 0
138 34 1 0
142 53 1 0
87 18 1 0
58 143 1 0
155 114 1 0
119 31 1 0
88 30 1 0
41 84 1 0
148 193 1 0
51 189 1 0
146 285 1 0
181 75 1 0
21 4 1 0
186 80 1 0
7 183 1 0
58 41 1 0
5 134 1 0
118 90 1 0
122 42 1 0
197 38 1 0
34 244 1 0
213 153 1 0
115 199 1 0
233 24 1 0
22 254 1 0
235 132 1 0
85 6 1 0
232 177 1 0
92 76 1 0
70 185 1 0
175 129 1 0
118 119 1 0
141 25 1 0
218 51 1 0
166 47 1 0
219 233 1 0
67 199 1 0
0 81 1 0
236 137 1 0
149 41 1 0
126 80 1 0
98 96 1 0
133 251 1 0
174 56 1 0
136 268 1 0
10 83 1 0
128 103 1 0
228 230 1 0
122 2 1 0
234 5 1 0
220 87 1 0
102 72 1 0
114 58 1 0
26 144 1 0
9 222 1 0
193 76 1 0
96 209 1 0
144 29 1 0
65 39 1 0
157 88 1 0
142 59 1 0
134 44 1 0
167 77 1 0
108 229 1 0
29 174 1 0
131 262 1 0
84 261 1 0
132 64 1 0
230 170 1 0
108 290 1 0
107 220 1 0
147 226 1 0
151 91 1 0
109 289 1 0
168 270 1 0
85 230 1 0
75 21 1 0
226 265 1 0
139 297 1 0
38 143 1 0
5 2 1 0
199 204 1 0
163 109 1 0
51 292 1 0
177 101 1 0
118 195 1 0
111 41 1 0
137 283 1 0
17 36 1 0
207 220 1 0
37 2 1 0
72 37 1 0
124 128 1 0
130 280 1 0
23 146 1 0
31 191 1 0
219 31 1 0
108 236 1 0
23 275 1 0
55 225 1 0
207 99 1 0
14 203 1 0
155 11 1 0
234 250 1 0
198 228 1 0
116 3 1 0
109 292 1 0
158 47 1 0
35 98 1 0
25 233 1 0
21 216 1 0
155 187 1 0
73 235 1 0
191 192 1 0
205 284 1 0
152 84 1 0
223 233 1 0
221 227 1 0
186 222 1 0
227 37 1 0
55 293 1 0
81 251 1 0
210 237 1 0
100 257 1 0
145 226 1 0
10 60 1 0
228 96 1 0
148 266 1 0
55 270 1 0
130 192 1 0
184 35 1 0
172 117 1 0
3 166 1 0
198 198 1 0
95 220 1 0
59 41 1 0
13 145 1 0
79 37 1 0
42 39 1 0
195 286 1 0
9 230 1 0
90 250 1 0
183 60 1 0
189 182 1 0
60 35 1 0
143 201 1 0
210 179 1 0
86 19 1 0
150 212 1 0
74 91 1 1
103 114 1 1
177 152 1 1
108 157 1 1
150 181 1 1
80 99 1 1
166 145 1 1
121 141 1 1
90 140 1 1
84 180 1 1
131 158 1 1
86 122 1 1
42 156 1 1
136 185 1 1
56 155 1 1
175 172 1 1
111 121 1 1
53 154 1 1
111 140 1 1
113 178 1 1
80 159 1 1
166 163 1 1
139 144 1 1
174 153 1 1
164 163 1 1
192 158 1 1
68 152 1 1
89 165 1 1
89 83 1 1
85 128 1 1
131 186 1 1
113 127 1 1
100 147 1 1
75 88 1 1
169 165 1 1
160 176 1 1
85 147 1 1
50 151 1 1
76 109 1 1
44 146 1 1
164 159 1 1
105 147 1 1
94 169 1 1
62 127 1 1
136 144 1 1
120 153 1 1
101 165 1 1
96 176 1 1
54 163 1 1
77 171 1 1
161 178 1 1
92 176 1 1
180 145 1 1
179 155 1 1
73 147 1 1
106 121 1 1
94 159 1 1
116 175 1 1
178 156 1 1
71 178 1 1
88 89 1 1
80 112 1 1
74 105 1 1
126 164 1 1
106 150 1 1
41 150 1 1
92 173 1 1
110 180 1 1
199 139 1 1
158 151 1 1
180 148 1 1
87 101 1 1
94 142 1 1
193 140 1 1
101 167 1 1
90 93 1 1
97 180 1 1
176 167 1 1
86 62 1 1
80 107 1 1
157 160 1 1
47 162 1 1
112 109 1 1
70 82 1 1
158 160 1 1
139 165 1 1
75 122 1 1
93 90 1 1
146 184 1 1
68 115 1 1
116 187 1 1
90 104 1 1
98 190 1 1
115 121 1 1
79 154 1 1
100 126 1 1
75 88 1 1
76 138 1 1
88 115 1 1
83 74 1 1
95 162 1 1
143 167 1 1
186 160 1 1
90 164 1 1
80 75 1 1
90 126 1 1
161 163 1 1
67 108 1 1
139 185 1 1
50 153 1 1
78 120 1 1
65 156 1 1
79 73 1 1
89 138 1 1
89 88 1 1
117 145 1 1
121 174 1 1
64 142 1 1
89 143 1 1
106 168 1 1
80 183 1 1
86 90 1 1
102 170 1 1
70 119 1 1
73 90 1 1
90 121 1 1
150 164 1 1
84 96 1 1
61 135 1 1
72 72 1 1
82 179 1 1
152 178 1 1
74 130 1 1
72 114 1 1
110 119 1 1
112 175 1 1
72 95 1 1
189 154 1 1
89 134 1 1
176 153 1 1
91 130 1 1
85 148 1 1
78 176 1 1
104 178 1 1
75 64 1 1
109 177 1 1
149 177 1 1
94 99 1 1
88 135 1 1
56 151 1 1
88 68 1 1
85 67 1 1
94 157 1 1
82 175 1 1
105 122 1 1
96 104 1 1
139 184 1 1
89 65 1 1
184 168 1 1
93 184 1 1
105 178 1 1
82 171 1 1
171 146 1 1
174 148 1 1
58 147 1 1
117 170 1 1
82 76 1 1
165 155 1 1
77 183 1 1
105 190 1 1
64 135 1 1
98 183 1 1
73 145 1 1
131 187 1 1
77 98 1 1
70 70 1 1
99 152 1 1
85 79 1 1
84 187 1 1
135 181 1 1
42 161 1 1
118 184 1 1
69 132 1 1
103 161 1 1
171 157 1 1
46 153 1 1
90 64 1 1
55 149 1 1
125 154 1 1
101 103 1 1
66 134 1 1
80 161 1 1
87 69 1 1
102 134 1 1
174 150 1 1
162 145 1 1
79 129 1 1
75 152 1 1
79 95 1 1
111 162 1 1
112 163 1 1
82 66 1 1
133 183 1 1
81 91 1 1
100 164 1 1
161 156 1 1
80 65 1 1
95 174 1 1
124 183 1 1
92 116 1 1
115 155 1 1
121 175 1 1
71 168 1 1
80 165 1 1
96 175 1 1
49 165 1 1
111 102 1 1
96 144 1 1
86 163 1 1
175 167 1 1
119 157 1 1
83 129 1 1
151 173 1 1
77 158 1 1
109 160 1 1
85 82 1 1
101 109 1 1
77 173 1 1
68 108 1 1
59 168 1 1
86 62 1 1
102 165 1 1
48 165 1 1
92 105 1 1
129 173 1 1
67 108 1 1
69 81 1 1
40 150 1 1
122 146 1 1
125 182 1 1
146 170 1 1
110 177 1 1
90 68 1 1
120 175 1 1
137 151 1 1
138 157 1 1
111 150 1 1
100 115 1 1
138 165 1 1
77 133 1 1
76 140 1 1
90 177 1 1
138 149 1 1
65 138 1 1
137 154 1 1
112 118 1 1
92 132 1 1
85 94 1 1
75 127 1 1
82 107 1 1
193 153 1 1
139 163 1 1
76 142 1 1
73 63 1 1
199 139 1 1
60 170 1 1
183 161 1 1
129 169 1 1
96 135 1 1
80 71 1 1
57 161 1 1
111 180 1 1
167 173 1 1
52 151 1 1
145 179 1 1
106 127 1 1
87 93 1 1
73 71 1 1
66 112 1 1
181 166 1 1
155 152 1 1
162 144 1 1
99 171 1 1
89 167 1 1
90 126 1 1
137 152 1 1
131 184 1 1
115 189 1 1
188 164 1 1
118 146 1 1
164 159 1 1
94 111 1 1
103 146 1 1
114 130 1 1
83 90 1 1
102 149 1 1
90 178 1 1
118 154 1 1
114 132 1 1
98 164 1 1
125 145 1 1
140 174 1 1
72 161 1 1
139 187 1 1
103 167 1 1
82 159 1 1
158 168 1 1
86 161 1 1
85 74 1 1
145 182 1 1
74 147 1 1
80 148 1 1
167 162 1 1
72 102 1 1
93 108 1 1
90 112 1 1
113 103 1 1
193 145 1 1
83 182 1 1
195 144 1 1
134 167 1 1
101 159 1 1
69 171 1 1
154 172 1 1
153 174 1 1
158 169 1 1
110 168 1 1
162 154 1 1
48 150 1 1
116 174 1 1
86 102 1 1
48 160 1 1
72 77 1 1
174 151 1 1
83 85 1 1
100 150 1 1
94 145 1 1
82 170 1 1
96 96 1 1
97 177 1 1
74 73 1 1
108 149 1 1
169 168 1 1
147 160 1 1
79 99 1 1
129 179 1 1
96 181 1 1
93 106 1 1
75 109 1 1
176 163 1 1
63 173 1 1
80 121 1 1
132 149 1 1
92 153 1 1
77 166 1 1
138 145 1 1
73 138 1 1
74 163 1 1
81 64 1 1
184 148 1 1
144 180 1 1
76 104 1 1
78 66 1 1
114 161 1 1
64 140 1 1
72 148 1 1
71 95 1 1
78 86 1 1
90 130 1 1
180 165 1 1
100 154 1 1
48 168 1 1
174 150 1 1
87 101 1 1
86 165 1 1
111 137 1 1
76 71 1 1
169 150 1 1
175 157 1 1
80 79 1 1
194 155 1 1
113 127 1 1
65 144 1 1
99 115 1 1
75 114 1 1
161 177 1 1
143 152 1 1
147 179 1 1
101 170 1 1
135 159 1 1
135 154 1 1
87 176 1 1
113 165 1 1
177 143 1 1
110 137 1 1
53 161 1 1
61 165 1 1
65 129 1 1
68 115 1 1
98 129 1 1
71 179 1 1
90 187 1 1
50 169 1 1
100 161 1 1
84 139 1 1
157 167 1 1
72 142 1 1
86 165 1 1
113 150 1 1
101 183 1 1
72 126 1 1
97 172 1 1
83 89 1 1
80 140 1 1
86 166 1 1
193 144 1 1
66 117 1 1
105 108 1 1
74 175 1 1
154 155 1 1
84 183 1 1
190 155 1 1
67 128 1 1
78 140 1 1
84 170 1 1
84 157 1 1
84 95 1 1
170 165 1 1
150 160 1 1
72 136 1 1
92 102 1 1
115 118 1 1
84 103 1 1
76 148 1 1
69 90 1 1
96 166 1 1
71 165 1 1
85 135 1 1
75 177 1 1
106 105 1 1
76 92 1 1
78 111 1 1
73 112 1 1
102 157 1 1
90 179 1 1
67 143 1 1
79 175 1 1
147 174 1 1
95 137 1 1
70 106 1 1
142 186 1 1
99 185 1 1
122 172 1 1
107 172 1 1
132 145 1 1
176 159 1 1
42 170 1 1
146 182 1 1
75 176 1 1
183 148 1 1
71 179 1 1
124 173 1 1
127 144 1 1
103 142 1 1
63 130 1 1
91 87 1 1
88 133 1 1
100 105 1 1
121 181 1 1
92 108 1 1
84 126 1 1
141 170 1 1
185 148 1 1
106 114 1 1
188 146 1 1
70 93 1 1
96 181 1 1
106 158 1 1
193 154 1 1
77 167 1 1
109 140 1 1
169 146 1 1
96 111 1 1
69 156 1 1
88 187 1 1
70 123 1 1
192 151 1 1
201 141 1 1
169 161 1 1
152 178 1 1
71 88 1 1
123 155 1 1
115 150 1 1
102 165 1 1
116 159 1 1
117 165 1 1
168 152 1 1
72 139 1 1
133 162 1 1
73 72 1 1
46 160 1 1
81 97 1 1
150 178 1 1
195 136 1 1
86 91 1 1
84 175 1 1
126 143 1 1
111 111 1 1
115 139 1 1
179 168 1 1
98 105 1 1
78 79 1 1
145 169 1 1
49 160 1 1
75 128 1 1
59 173 1 1
162 152 1 1
154 147 1 1
54 171 1 1
151 183 1 1
89 167 1 1
75 147 1 1
82 90 1 1
98 124 1 1
137 157 1 1
73 90 1 1
94 117 1 1
87 62 1 1
165 164 1 1
116 153 1 1
152 145 1 1
76 84 1 1
73 106 1 1
105 105 1 1
66 137 1 1
82 143 1 1
187 166 1 1
100 112 1 1
78 139 1 1
96 147 1 1
92 138 1 1
75 182 1 1
177 158 1 1
44 151 1 1
147 169 1 1
89 99 1 1
77 88 1 1
115 161 1 1
168 143 1 1
88 111 1 1
97 152 1 1
149 177 1 1
121 168 1 1
112 149 1 1
126 174 1 1
110 133 1 1
116 171 1 1
76 68 1 1
72 69 1 1
130 161 1 1
84 157 1 1
84 122 1 1
95 155 1 1
148 159 1 1
123 160 1 1
47 172 1 1
113 136 1 1
96 97 1 1
92 132 1 1
130 158 1 1
151 180 1 1
115 163 1 1
39 149 1 1
146 147 1 1
84 93 1 1
84 138 1 1
72 151 1 1
76 80 1 1
72 129 1 1
75 66 1 1
66 102 1 1
111 109 1 1
54 166 1 1
165 152 1 1
80 75 1 1
85 80 1 1
141 185 1 1
123 163 1 1
180 144 1 1
179 163 1 1
90 146 1 1
184 149 1 1
57 166 1 1
120 169 1 1
83 127 1 1
120 161 1 1
150 181 1 1
164 144 1 1
130 146 1 1
74 169 1 1
103 164 1 1
77 64 1 1
83 97 1 1
86 88 1 1
54 149 1 1
159 149 1 1
75 144 1 1
52 159 1 1
163 166 1 1
54 146 1 1
125 158 1 1
68 172 1 1
112 142 1 1
152 170 1 1
161 162 1 1
79 160 1 1
88 108 1 1
83 128 1 1
96 187 1 1
96 113 1 1
141 164 1 1
125 190 1 1
76 84 1 1
93 138 1 1
92 138 1 1
75 177 1 1
88 117 1 1
77 88 1 1
180 160 1 1
77 152 1 1
154 150 1 1
138 150 1 1
107 134 1 1
156 164 1 1
91 124 1 1
128 159 1 1
182 152 1 1
69 173 1 1
119 153 1 1
52 149 1 1
98 162 1 1
86 81 1 1
104 103 1 1
74 125 1 1
49 164 1 1
123 158 1 1
100 107 1 1
109 163 1 1
69 85 1 1
95 178 1 1
89 163 1 1
114 165 1 1
181 153 1 1
87 162 1 1
73 66 1 1
133 163 1 1
58 159 1 1
99 159 1 1
86 179 1 1
39 147 1 1
176 163 1 1
151 150 1 1
97 133 1 1
82 118 1 1
68 82 1 1
185 146 1 1
68 122 1 1
82 147 1 1
150 162 1 1
84 81 1 1
70 140 1 1
81 94 1 1
101 182 1 1
182 160 1 1
194 148 1 1
99 139 1 1
157 172 1 1
88 133 1 1
78 174 1 1
143 184 1 1
122 149 1 1
86 123 1 1
89 128 1 1
126 172 1 1
74 69 1 1
94 129 1 1
129 182 1 1
115 181 1 1
131 153 1 1
86 138 1 1
76 61 1 1
103 141 1 1
69 151 1 1
78 80 1 1
119 179 1 1
117 184 1 1
189 138 1 1
119 145 1 1
65 171 1 1
115 161 1 1
86 98 1 1
177 144 1 1
83 94 1 1
170 158 1 1
68 81 1 1
69 95 1 1
62 128 1 1
119 153 1 1
128 179 1 1
167 148 1 1
115 136 1 1
97 110 1 1
125 171 1 1
131 187 1 1
79 119 1 1
183 156 1 1
116 164 1 1
78 88 1 1
89 150 1 1
